ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
MR_10_P4	MR_10	Sorrentino	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_10_P5	MR_10	Sorrentino	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_10_P6	MR_10	Sorrentino	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T1_1	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T1_2	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T1_3	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T2_1	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T2_2	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T2_3	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T3_1	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_12_T3_2	MR_12	Sunset_Park	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_13_P1	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2012	2009-2012
MR_13_P5	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2012	2009-2012
MR_14_P2	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_14_P3	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_14_P4	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_14_P5	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_14_P6	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_14_P7	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_14_P9	MR_14	Lost_Battalion	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_15_P2	MR_15	BK_Grange_LIC	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_15_P3	MR_15	BK_Grange_LIC	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_17_P4	MR_17	VICE	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2015	2013-2017
MR_17_P5	MR_17	VICE	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2015	2013-2017
MR_18_T1_3	MR_18	Kingsland_Wildflower	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2017	2013-2017
MR_2_T1_2	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2012	2009-2012
MR_2_T1_3	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2012	2009-2012
MR_2_T2_1	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2012	2009-2012
MR_2_T3_1	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2012	2009-2012
MR_20_T1_2	MR_20	Saint_Marys	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
